पचड़ा	_onto_nodes	भुँइफोर
निमि	_onto_nodes	चालचलन
ग्रॉस्ज़ी	_onto_nodes	भुँइफोर
जिम्बाबवेइयाई	_hypernym	रेहुआ
पुष्करसद	_hypernym	गोचरपिण्ड
शवाधार	_onto_nodes	रङ्गमहल
बैल-हाट	_onto_nodes	सूपाबेना
उष्णता	_onto_nodes	अवाकी
फक	_onto_nodes	सत्यसन्ध
अभिलाषक	_onto_nodes	बिलल्ला
अडोल	_onto_nodes	भुँइफोर
रामावत	_hypernym	समाँ_बाँधना
तराज़ू_डंड	_onto_nodes	रङ्गमहल
अनद्यतनभविष्य	_hypernym	लुआंडा
इंजीनियरी	_onto_nodes	साया
कर्णकटु	_hypernym	उनतालीस
अंबु_तस्कर	_onto_nodes	प्रतिधावन
बड़बड़ाना	_hypernym	नकल_उतारना
कामोदतिलक	_hypernym	नरपति
नाइल	_onto_nodes	अनिष्टकर
वॉट	_onto_nodes	खपाची
जलोद्धतिगति	_onto_nodes	पैरदान
जड़मति	_hypernym	अन्तर्वेश्म
चन्डेल	_hypernym	अम्बाला_ज़िला
नौग्रही	_onto_nodes	पैरदान
गर्भ_झिल्ली	_hypernym	वराम्ल
ख़लिस	_onto_nodes	अवाकी
श्रुतदेवी	_hypernym	कुवारी
ठनकना	_onto_nodes	सृंजय
कांजीवरम्_जिला	_onto_nodes	भुँइफोर
जलाना	_onto_nodes	अवात
विषुव_वर्ष	_onto_nodes	एकलक
रक्तफला	_hypernym	गोचरपिण्ड
अभयदक्षिणा	_onto_nodes	भुँइफोर
केवटाई	_hypernym	धाव_पट्टी
अप्रतिमान	_onto_nodes	ईयर
करपात्र	_hypernym	टेलिफून
निन्दा	_hypernym	ओं
अभिशंसा	_onto_nodes	अवाकी
पिकबन्धुर	_hypernym	सुघड़
पेट्रोल_पंप	_onto_nodes	सूपाबेना
अलांग	_onto_nodes	अनिष्टकर
अवाह्य	_hypernym	श्वेतकांडा
व्हेल	_hypernym	प्रूफ़रीडर
नवादा_शहर	_onto_nodes	रङ्गमहल
श्रेणी	_hypernym	पैराकी
नैशनलिस्ट_कांग्रेस_पार्टी	_onto_nodes	नवधा-भक्ति
शंकाहीन	_onto_nodes	निकुरम्ब
टघराना	_hypernym	ऐल्प्स_पर्वत
ढहा_हुआ	_onto_nodes	सृंजय
अहीश	_hypernym	अभिरना
बेरहमी	_hypernym	मरीना
पहाड़ी_बुलबुल	_onto_nodes	अनिष्टकर
पंचायत	_onto_nodes	खपाची
श्वेत-पुष्पा	_onto_nodes	सूपाबेना
भीमरा	_hypernym	गोचरपिण्ड
सुघराई-कान्हड़ा	_onto_nodes	सृंजय
भद्रदेह	_onto_nodes	ज्येष्ठत्व
अपहरण_करना	_onto_nodes	मेक्सिको
सौंदर्य_मीमांसा	_onto_nodes	मोतियदाम
चौर	_hypernym	रुवाबदार
दीवाला_निकलना	_onto_nodes	भुँइफोर
पेटी	_onto_nodes	पिछलगा
क़ैदी	_hypernym	दनायुषा
