67,कैपुचीन,_onto_nodes,अनुभवहीन
17017,खाप,_hypernym,प्रशासन
7558,दर्शक,_hypernym,व्यक्ति
184,सेसोथो,_onto_nodes,सामंजस्य
1225,उद्यमहीन,_modifies_noun,व्यक्ति
1364,अनन्यार्थ,_modifies_noun,अवस्था
7582,बनाती,_onto_nodes,भुक्तभोगी
2075,मणिपुरी,_onto_nodes,स्पष्टीकरण
558,उन्माद,_hypernym,रोग
16072,झरना,_onto_nodes,मूर्ख
2892,ठंडे-ठंडे,_verb,क्रिया
20192,दुग्ध_उत्पाद,_hypernym,उत्पाद
347,गाम्बिया,_hypernym,नदी
366,सारस,_onto_nodes,विटामिन
2662,आत्मकेंद्रित,_onto_nodes,भुक्तभोगी
13055,सेवन,_hypernym,क्रिया
4848,पुरवट,_onto_nodes,मूर्ख
13574,तनी,_hypernym,डोरी
484,आथर्वण,_hypernym,पौराणिक_पुरुष
1061,यूरोपीय_संघ,_onto_nodes,स्पष्टीकरण
578,पुरुषत्व,_hypernym,लक्षण
2024,अमान,_hypernym,विश्वास
2292,ऋषि_पंचमी,_hypernym,पंचमी
248,ऋष्यमूक_पर्वत,_hypernym,पौराणिक_वस्तु
1053,इलाहाबाद_जिला,_hypernym,जिला
1264,चित्रा,_hypernym,रागिनी
31162,दंड,_hypernym,राक्षस
1300,शिवसागर_जिला,_hypernym,जिला
1825,अम्मान,_hypernym,राजधानी
8191,पैठनी_साड़ी,_onto_nodes,मूर्ख
3700,सांसारिक,_modifies_noun,तत्त्व
7071,अष्टपदी,_hypernym,समुदाय
18684,सीट,_onto_nodes,मूर्ख
827,असंभार,_modifies_noun,काम
179,क़लम,_onto_nodes,योग्य
5453,छात्रावासी,_modifies_noun,व्यक्ति
1836,परिचय_कराना,_hypernym,काम_करना
4212,ओकोलेहाओ,_hypernym,शराब
178,बैठाना,_hypernym,काम_कराना
10850,चौखट,_onto_nodes,मूर्ख
10629,पीठिका,_hypernym,आधार
1097,इतने_में,_derived_from,इतना
1413,गारुड़,_modifies_noun,अवस्था
1859,जलमग्न,_modifies_noun,स्थान
29736,ताश,_meronym,कागज
4994,ख़लीफ़ा,_hypernym,मौलवी
7205,तौलवाई,_onto_nodes,फूहड़
547,हाँफना,_causative,हँफाना
6065,सेंधमारी,_onto_nodes,अंधानुकरण
11745,लाखा,_hypernym,रंग
3847,नेफा,_onto_nodes,क्रिया
1747,अपवश,_modifies_noun,क्रिया
1058,फरार,_hypernym,व्यक्ति
9488,अन्नत्याग,_hypernym,हड़ताल
4170,चौतरफा,_onto_nodes,विरोध
2781,अति-उत्साही,_onto_nodes,भुक्तभोगी
14802,बेक़ाबू,_onto_nodes,समझौता
3451,मनोरोग-विज्ञानी,_onto_nodes,खाद्य_वस्तु
3323,अधार्मिक,_onto_nodes,भुक्तभोगी
18324,निरप्र,_onto_nodes,भुक्तभोगी
947,दूरसंचार_विभाग,_hypernym,विभाग
323,अवाक्पुष्पी,_hypernym,पौधा
6134,बेसब्र,_onto_nodes,भुक्तभोगी
12327,परंपरावादी,_onto_nodes,समझौता
1521,बयालीसवाँ,_modifies_noun,क्रिया
377,चोर-दंत,_onto_nodes,योग्य
42,परसों,_hypernym,दिन
1737,नंदिनी,_hypernym,पौराणिक_जीव
514,कब्जा,_hypernym,वस्तु-भाग
13846,करधनी,_hypernym,आभूषण
6438,ताऊस,_onto_nodes,मूर्ख
3962,सामवेदीय,_modifies_noun,काम
751,आयतन,_onto_nodes,बदनामी
72,केनसिंगटन_प्राइड,_hypernym,आम
748,बदहाली,_onto_nodes,असामंजस्यता
9825,जिगीषा,_hypernym,इच्छा
27967,शीशी,_meronym,शीशा
21185,डोल,_hypernym,चिकनी_मिट्टी
1601,छूटना,_onto_nodes,भिन्नरूपी
1718,कासनी,_meronym,कासनी
5833,हरा_रंग,_hypernym,मुख्य_रंग
4666,पक्व,_onto_nodes,विरोध
1812,बागपत,_hypernym,शहर
6709,आरभटी,_hypernym,भाषा_शैली
1587,चेक_इन,_onto_nodes,अंधानुकरण
787,देवरक्षित,_hypernym,पौराणिक_पुरुष
8,कांड,_hypernym,भाग
1711,चालीस,_modifies_noun,क्रिया
5170,समाविष्ट,_onto_nodes,विरोध
6171,पुनरावेदक,_onto_nodes,खाद्य_वस्तु
2949,वेलूर,_onto_nodes,पितृहीन
12,लहराना,_hypernym,चलना
26027,बंगली,_onto_nodes,मूर्ख
13870,पिछड़ा,_modifies_noun,काम
280,छुड़ाई,_hypernym,क्रिया
500,पासा_पलटना,_hypernym,काम_करना
1241,सैन_जोसे,_hypernym,राजधानी
3378,सीमा,_onto_nodes,पितृहीन
6945,गवाही_देना,_hypernym,कहना
1605,कट्ठा,_onto_nodes,नामक
4726,काहिराई,_onto_nodes,समझौता
8851,मरवट,_onto_nodes,अप्रचलित
21719,केवड़ई,_onto_nodes,ज्ञान
2912,रानीखेत,_onto_nodes,पितृहीन
302,पाटल,_hypernym,पेड़
7787,आयाम,_hypernym,लक्षण
3599,अधिरूढ़,_onto_nodes,विरोध
1175,शिवसेना,_onto_nodes,स्पष्टीकरण
5343,वृत्त_चित्र,_hypernym,सिनेमा
8770,डोका,_meronym,काठ
353,भूरलोखरिया,_attributes,रेतीला
24777,भजियाउर,_onto_nodes,मूर्ख
28,कॉलोनी,_meronym,शिक्षणालय
5338,चीज़,_hypernym,वस्तु
4669,अर्धकुशल,_modifies_noun,अवस्था
1219,चक्रधर,_onto_nodes,प्रयत्नपूर्वक
9488,अनुलंबखाता,_onto_nodes,मूर्ख
21765,काला_सागर,_onto_nodes,फूहड़
1322,सादा,_modifies_noun,अवस्था
355,झटके_से,_verb,होना
